0x101fc84fc	SDV_StardewValley_Mobile_TapToMoveUtils_get_gameLocation_060066cb	0x060066cb	StardewValley.Mobile.TapToMoveUtils	get_gameLocation
0x101fc85dc	SDV_StardewValley_Mobile_TapToMoveUtils_get_inMiniGameWhereWeDontWantTaps_060066cc	0x060066cc	StardewValley.Mobile.TapToMoveUtils	get_inMiniGameWhereWeDontWantTaps
0x101fc8764	SDV_StardewValley_Mobile_TapToMoveUtils_ContainsTravellingCart_060066cd	0x060066cd	StardewValley.Mobile.TapToMoveUtils	ContainsTravellingCart
0x101fc8954	SDV_StardewValley_Mobile_TapToMoveUtils_ContainsTravellingDesertShop_060066ce	0x060066ce	StardewValley.Mobile.TapToMoveUtils	ContainsTravellingDesertShop
0x101fc8a48	SDV_StardewValley_Mobile_TapToMoveUtils_ContainsCinemaDoor_060066cf	0x060066cf	StardewValley.Mobile.TapToMoveUtils	ContainsCinemaDoor
0x101fc8b2c	SDV_StardewValley_Mobile_TapToMoveUtils_ContainsCinemaTicketOffice_060066d0	0x060066d0	StardewValley.Mobile.TapToMoveUtils	ContainsCinemaTicketOffice
0x101fc8c44	SDV_StardewValley_Mobile_TapToMoveUtils_SelectTool_060066d1	0x060066d1	StardewValley.Mobile.TapToMoveUtils	SelectTool
0x101fc8e08	SDV_StardewValley_Mobile_TapToMoveUtils_PlayerHasTool_060066d2	0x060066d2	StardewValley.Mobile.TapToMoveUtils	PlayerHasTool
0x101fc8f98	SDV_StardewValley_Mobile_TapToMoveUtils_getBestAvailableWeapon_060066d3	0x060066d3	StardewValley.Mobile.TapToMoveUtils	getBestAvailableWeapon
0x101fc9280	SDV_StardewValley_Mobile_TapToMoveUtils_FetchItemInInventoryByName_060066d4	0x060066d4	StardewValley.Mobile.TapToMoveUtils	FetchItemInInventoryByName
0x101fc9448	SDV_StardewValley_Mobile_TapToMoveUtils_get_PlayerOffsetPosition_060066d5	0x060066d5	StardewValley.Mobile.TapToMoveUtils	get_PlayerOffsetPosition
0x101fc94e4	SDV_StardewValley_Mobile_TapToMoveUtils_get_PlayerPositionOnScreen_060066d6	0x060066d6	StardewValley.Mobile.TapToMoveUtils	get_PlayerPositionOnScreen
0x101fc95fc	SDV_StardewValley_Mobile_TapToMoveUtils_InWarpRange_060066d7	0x060066d7	StardewValley.Mobile.TapToMoveUtils	InWarpRange
0x101fc9850	SDV_StardewValley_Mobile_TapToMoveUtils_NodeIsWarp_060066d8	0x060066d8	StardewValley.Mobile.TapToMoveUtils	NodeIsWarp
0x101fc9a6c	SDV_StardewValley_Mobile_TapToMoveUtils_WarpIfInRange_060066d9	0x060066d9	StardewValley.Mobile.TapToMoveUtils	WarpIfInRange
0x101fc9e60	SDV_StardewValley_Mobile_TapToMoveUtils_get_WarpRange_060066da	0x060066da	StardewValley.Mobile.TapToMoveUtils	get_WarpRange
0x101fc9f28	SDV_StardewValley_Mobile_TapToMoveUtils_NpcAtWarpOrDoor_060066db	0x060066db	StardewValley.Mobile.TapToMoveUtils	NpcAtWarpOrDoor
0x101fca120	SDV_StardewValley_Mobile_TapToMoveUtils_ConvertWalkDirection_060066dc	0x060066dc	StardewValley.Mobile.TapToMoveUtils	ConvertWalkDirection
0x101fca144	SDV_StardewValley_Mobile_TapToMoveUtils_WalkDirectionForAngle_060066dd	0x060066dd	StardewValley.Mobile.TapToMoveUtils	WalkDirectionForAngle
0x101fca258	SDV_StardewValley_Mobile_TapToMoveUtils_WalkDirectionForAngleJustDiagonals_060066de	0x060066de	StardewValley.Mobile.TapToMoveUtils	WalkDirectionForAngleJustDiagonals
