0x101854648	StardewValley_StardewValley_Farmer_changeHairColor_0600365f	0x0600365f	StardewValley.Farmer	changeHairColor
0x1018548bc	StardewValley_StardewValley_Farmer_changeAccessory_06003662	0x06003662	StardewValley.Farmer	changeAccessory
0x101854aac	StardewValley_StardewValley_Farmer_changeEyeColor_06003665	0x06003665	StardewValley.Farmer	changeEyeColor
0x101854970	StardewValley_StardewValley_Farmer_changeSkinColor_06003663	0x06003663	StardewValley.Farmer	changeSkinColor
0x101ea186c	StardewValley_StardewValley_Menus_IClickableMenu_exitThisMenu_0600619b	0x0600619b	StardewValley.Menus.IClickableMenu	exitThisMenu
0x1017188e0	StardewValley_StardewValley_Game1_playSound_0600301b	0x0600301b	StardewValley.Game1	playSound
0x10183a070	StardewValley_StardewValley_Farmer_get_FarmerSprite_060035b3	0x060035b3	StardewValley.Farmer	get_FarmerSprite
0x1018534f8	StardewValley_StardewValley_Farmer_changeShirt_06003653	0x06003653	StardewValley.Farmer	changeShirt
0x1018546ec	StardewValley_StardewValley_Farmer_changePantsColor_06003660	0x06003660	StardewValley.Farmer	changePantsColor
0x101e5fa0c	StardewValley_StardewValley_Menus_ClickableTextureComponent__ctor_0600601b	0x0600601b	StardewValley.Menus.ClickableTextureComponent	.ctor
0x101ea313c	StardewValley_StardewValley_Menus_IClickableMenu_drawTextureBox_060061a8	0x060061a8	StardewValley.Menus.IClickableMenu	drawTextureBox
0x101a25f60	StardewValley_StardewValley_Utility_drawTextWithShadow_06004232	0x06004232	StardewValley.Utility	drawTextWithShadow
0x101e6df18	StardewValley_StardewValley_Menus_DialogueBox__ctor_06006076	0x06006076	StardewValley.Menus.DialogueBox	.ctor
0x101ea0478	StardewValley_StardewValley_Menus_IClickableMenu_getComponentWithID_06006181	0x06006181	StardewValley.Menus.IClickableMenu	getComponentWithID
0x1018535c8	StardewValley_StardewValley_Farmer_rotatePantStyle_06003654	0x06003654	StardewValley.Farmer	rotatePantStyle
0x1019e17cc	StardewValley_StardewValley_Program_get_sdk_06003f56	0x06003f56	StardewValley.Program	get_sdk
0x101de85e4	StardewValley_StardewValley_BellsAndWhistles_SpriteText_getWidthOfString_06005d29	0x06005d29	StardewValley.BellsAndWhistles.SpriteText	getWidthOfString
0x101deabd4	StardewValley_StardewValley_BellsAndWhistles_SpriteText_drawString_06005d44	0x06005d44	StardewValley.BellsAndWhistles.SpriteText	drawString
0x101efbca0	StardewValley_StardewValley_Menus_LoadGameMenu_drawStatusText_060062df	0x060062df	StardewValley.Menus.LoadGameMenu	drawStatusText
0x10173c28c	StardewValley_StardewValley_Game1_getLocationFromName_060030db	0x060030db	StardewValley.Game1	getLocationFromName
0x101b5817c	StardewValley_StardewValley_Network_Server_playerDisconnected_06004d1a	0x06004d1a	StardewValley.Network.Server	playerDisconnected
0x101b36d98	StardewValley_StardewValley_Network_Client__ctor_06004ad6	0x06004ad6	StardewValley.Network.Client	.ctor
0x101e9e83c	StardewValley_StardewValley_Menus_IClickableMenu__ctor_06006162	0x06006162	StardewValley.Menus.IClickableMenu	.ctor
0x101e5f834	StardewValley_StardewValley_Menus_ClickableTextureComponent__ctor_0600601a	0x0600601a	StardewValley.Menus.ClickableTextureComponent	.ctor
0x10183694c	StardewValley_StardewValley_Farmer_get_team_06003559	0x06003559	StardewValley.Farmer	get_team
0x101f94280	StardewValley_StardewValley_Menus_TitleTextInputMenu__ctor_060065af	0x060065af	StardewValley.Menus.TitleTextInputMenu	.ctor
0x101ea05ec	StardewValley_StardewValley_Menus_IClickableMenu_initializeUpperRightCloseButton_06006182	0x06006182	StardewValley.Menus.IClickableMenu	initializeUpperRightCloseButton
0x101b54650	StardewValley_StardewValley_Network_OutgoingMessage_Write_06004cd1	0x06004cd1	StardewValley.Network.OutgoingMessage	Write
0x101b3ddf8	StardewValley_StardewValley_Network_IncomingMessage_Read_06004b46	0x06004b46	StardewValley.Network.IncomingMessage	Read
0x101efafc8	StardewValley_StardewValley_Menus_LoadGameMenu_update_060062da	0x060062da	StardewValley.Menus.LoadGameMenu	update
0x101711b4c	StardewValley_StardewValley_Game1_get_IsMasterGame_06002ff6	0x06002ff6	StardewValley.Game1	get_IsMasterGame
0x101710304	StardewValley_StardewValley_Game1_get_gameMode_06002fda	0x06002fda	StardewValley.Game1	get_gameMode
0x10170dec0	StardewValley_StardewValley_Game1_get_locations_06002fa7	0x06002fa7	StardewValley.Game1	get_locations
0x101f635f0	StardewValley_StardewValley_Menus_SliderBar__ctor_060064cb	0x060064cb	StardewValley.Menus.SliderBar	.ctor
0x10194e550	StardewValley_StardewValley_Multiplayer_get_protocolVersion_06003c1a	0x06003c1a	StardewValley.Multiplayer	get_protocolVersion
0x101a00928	StardewValley_StardewValley_Tool__ctor_060040fd	0x060040fd	StardewValley.Tool	.ctor
0x10184d66c	StardewValley_StardewValley_Farmer_IsEquippedItem_0600362e	0x0600362e	StardewValley.Farmer	IsEquippedItem
0x101a13770	StardewValley_StardewValley_Utility_CollectOrDrop_060041a3	0x060041a3	StardewValley.Utility	CollectOrDrop
0x101793e2c	StardewValley_StardewValley_Character_set_Name_0600325d	0x0600325d	StardewValley.Character	set_Name
0x101729ed8	StardewValley_StardewValley_Game1_exitActiveMenu_06003073	0x06003073	StardewValley.Game1	exitActiveMenu
0x101f80684	StardewValley_StardewValley_Menus_TitleMenu_set_subMenu_06006581	0x06006581	StardewValley.Menus.TitleMenu	set_subMenu
